Timestamp,1. How would you rate zombies from The Walking Dead? [Intelligence],1. How would you rate zombies from The Walking Dead? [Speed],1. How would you rate zombies from The Walking Dead? [Strength],2. How would you rate zombies from World War Z? [Intelligence],2. How would you rate zombies from World War Z? [Speed],2. How would you rate zombies from World War Z? [Strength],3. How would you rate zombies from Shaun of the Dead? [Intelligence],3. How would you rate zombies from Shaun of the Dead? [Speed],3. How would you rate zombies from Shaun of the Dead? [Strength],4. How would you rate zombies from Dawn of the Dead? [Intelligence],4. How would you rate zombies from Dawn of the Dead? [Speed],4. How would you rate zombies from Dawn of the Dead? [Strength],5. How would you rate zombies from Game of Thrones? [Intelligence],5. How would you rate zombies from Game of Thrones? [Speed],5. How would you rate zombies from Game of Thrones? [Strength],6. How would you rate zombies from Zombieland? [Intelligence],6. How would you rate zombies from Zombieland? [Speed],6. How would you rate zombies from Zombieland? [Strength],7. How would you rate zombies from Firefly? [Intelligence],7. How would you rate zombies from Firefly? [Speed],7. How would you rate zombies from Firefly? [Strength],8. How would you rate zombies from Left for Dead 2? [Intelligence],8. How would you rate zombies from Left for Dead 2? [Speed],8. How would you rate zombies from Left for Dead 2? [Strength],9. How would you rate zombies from Army of Darkness? [Intelligence],9. How would you rate zombies from Army of Darkness? [Speed],9. How would you rate zombies from Army of Darkness? [Strength],10. How would you rate zombies from Resident Evil? [Intelligence],10. How would you rate zombies from Resident Evil? [Speed],10. How would you rate zombies from Resident Evil? [Strength],11. How would you rate zombies from Call of Duty? [Intelligence],11. How would you rate zombies from Call of Duty? [Speed],11. How would you rate zombies from Call of Duty? [Strength],12. How would you rate zombies from I am Legend? [Intelligence],12. How would you rate zombies from I am Legend? [Speed],12. How would you rate zombies from I am Legend? [Strength],13. How would you rate zombies from 28 Days Later? [Intelligence],13. How would you rate zombies from 28 Days Later? [Speed],13. How would you rate zombies from 28 Days Later? [Strength],How would you rank zombies from The Walking Dead? [Row 2]
10/21/2015 10:17:17,,,,,,,2,2,3,,,,7: Greatest,7: Greatest,5,4,6,5,6,4,5,,,,2,3,4,,,,,,,5,6,4,,,,
10/21/2015 10:58:51,3,3,4,,,,2,3,5,,,,,,,3,5,4,,,,,,,,,,,,,,,,5,7: Greatest,5,,,,
10/21/2015 15:59:57,1: Least,3,4,5,7: Greatest,5,6,5,4,,,,1: Least,4,7: Greatest,1: Least,7: Greatest,5,,,,,,,,,,,,,,,,7: Greatest,5,5,,,,
10/21/2015 18:39:50,,,,,,,1: Least,1: Least,1: Least,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2015 20:40:36,2,3,5,,,,3,4,4,2,2,4,,,,4,5,5,,,,7: Greatest,7: Greatest,7: Greatest,,,,4,6,6,2,4,5,7: Greatest,6,6,,,,
10/21/2015 23:10:09,2,3,4,3,7: Greatest,6,,,,,,,7: Greatest,5,7: Greatest,,,,,,,,,,,,,,,,,,,,,,3,7: Greatest,5,
10/26/2015 16:37:27,2,3,3,3,6,5,2,2,3,,,,5,5,6,3,4,4,5,5,3,4,4,5,3,4,5,3,4,4,2,2,4,6,6,4,2,5,5,
10/26/2015 18:31:26,,,,,,,4,3,2,7: Greatest,6,5,,,,,,,,,,,,,,,,,,,,,,,,,3,7: Greatest,6,
10/26/2015 18:33:50,1: Least,1: Least,1: Least,5,3,2,4,4,5,5,7: Greatest,6,1: Least,2,2,4,6,3,4,5,5,1: Least,5,6,7: Greatest,6,7: Greatest,3,3,3,3,2,6,7: Greatest,7: Greatest,7: Greatest,5,6,4,
10/26/2015 20:48:52,1: Least,3,5,6,7: Greatest,5,1: Least,2,3,2,4,3,7: Greatest,5,7: Greatest,4,5,3,,,,5,6,6,,,,5,7: Greatest,6,1: Least,1: Least,2,5,7: Greatest,6,,,,
10/26/2015 21:39:38,2,3,4,5,4,4,,,,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,
10/27/2015 7:29:05,2,3,2,6,5,4,1: Least,2,3,5,4,3,5,2,5,4,2,3,5,5,5,3,5,4,7: Greatest,5,6,3,2,2,2,3,4,6,6,5,2,7: Greatest,5,
10/29/2015 10:21:31,2,2,3,5,7: Greatest,5,3,3,4,3,4,4,5,5,5,4,5,4,4,4,4,5,5,3,3,4,3,3,2,4,3,5,4,7: Greatest,7: Greatest,7: Greatest,4,4,3,
10/29/2015 10:47:55,1: Least,2,1: Least,2,6,6,2,1: Least,1: Least,,,,7: Greatest,5,5,2,7: Greatest,5,,,,,,,,,,,,,,,,4,5,6,,,,
10/29/2015 10:51:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2015 11:07:15,2,3,3,4,5,6,2,2,2,1: Least,2,2,4,5,4,1: Least,3,3,7: Greatest,4,4,,,,2,3,4,3,4,5,3,3,3,5,4,3,2,5,4,
10/29/2015 11:16:56,3,4,3,4,6,3,2,1: Least,2,,,,6,4,6,3,6,3,4,6,6,5,5,5,,,,,,,3,3,3,6,7: Greatest,6,,,,
10/29/2015 11:49:45,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,
10/29/2015 11:51:06,,,,,,,,,,,,,,,,4,4,4,5,5,5,,,,,,,,,,,,,,,,,,,
10/29/2015 12:07:46,2,3,5,5,5,4,6,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2015 13:19:00,3,3,3,3,7: Greatest,7: Greatest,3,4,3,3,4,3,7: Greatest,5,7: Greatest,6,5,4,,,,,,,,,,,,,4,5,5,7: Greatest,4,4,3,6,4,
10/29/2015 13:48:25,3,4,4,5,7: Greatest,6,1: Least,2,2,4,4,4,4,6,7: Greatest,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
10/29/2015 14:00:08,1: Least,4,5,,,,,,,,,,1: Least,5,6,3,5,3,,,,5,5,5,,,,,,,,,,7: Greatest,6,5,,,,
10/29/2015 15:16:18,1: Least,1: Least,2,2,7: Greatest,5,1: Least,1: Least,2,1: Least,1: Least,2,3,4,4,2,6,3,7: Greatest,6,4,4,4,4,5,5,6,2,6,6,6,7: Greatest,6,6,7: Greatest,7: Greatest,5,6,5,
10/29/2015 15:19:38,2,3,4,5,7: Greatest,5,2,3,3,,,,,,,3,5,4,,,,5,6,7: Greatest,,,,5,5,7: Greatest,2,5,4,5,6,5,,,,
10/29/2015 15:47:40,3,2,3,4,4,4,2,2,4,5,4,5,,,,2,2,2,,,,7: Greatest,7: Greatest,7: Greatest,6,6,5,6,3,6,6,5,5,7: Greatest,7: Greatest,7: Greatest,4,4,4,
10/29/2015 15:52:28,1: Least,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,,,,
10/29/2015 15:59:26,1: Least,2,2,3,3,2,2,2,3,3,4,2,1: Least,3,4,2,3,2,1: Least,1: Least,1: Least,2,2,4,2,3,4,4,4,4,2,3,2,4,4,4,4,4,4,
10/29/2015 16:13:21,,,,3,4,5,1: Least,3,1: Least,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2015 16:19:29,2,3,2,,,,2,2,3,,,,3,2,5,4,5,3,,,,3,5,3,,,,2,3,4,4,5,7: Greatest,6,6,6,4,7: Greatest,6,
10/29/2015 17:01:36,3,2,4,5,7: Greatest,6,1: Least,3,3,5,5,5,7: Greatest,6,6,3,3,3,3,3,3,3,4,3,3,4,3,4,4,5,4,4,4,6,6,6,2,6,5,
10/29/2015 17:18:48,2,3,3,4,5,4,2,2,3,,,,4,5,4,,,,,,,3,7: Greatest,4,,,,1: Least,3,2,2,5,3,,,,,,,
10/29/2015 17:24:28,2,2,5,4,6,4,1: Least,2,4,,,,3,3,4,3,5,5,,,,,,,,,,,,,,,,,,,5,7: Greatest,4,
10/29/2015 17:41:11,1: Least,1: Least,1: Least,,,,,,,,,,,,,,,,,,,7: Greatest,7: Greatest,7: Greatest,,,,,,,,,,,,,,,,
10/29/2015 17:46:10,3,3,3,4,7: Greatest,4,,,,,,,4,6,5,4,4,4,,,,4,4,4,,,,,,,2,2,2,,,,7: Greatest,,,
10/29/2015 17:53:05,4,3,6,,,,,,,,,,,,,,,,,,,6,4,4,,,,,,,4,3,4,6,6,6,,,,
10/29/2015 18:31:09,6,5,,7: Greatest,7: Greatest,6,4,3,5,,,,,,,5,6,6,,,,,,,,,,,,,,,,6,6,6,,,,
10/29/2015 19:09:18,3,3,5,,,,,,,,,,6,5,5,2,6,3,,,,,,,,,,,,,2,2,3,,,,,,,
10/29/2015 19:14:41,,,,,,,2,1: Least,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2015 19:34:36,1: Least,2,3,,,,,,,,,,6,6,5,4,3,3,,,,,,,,,,,,,,,,7: Greatest,7: Greatest,4,,,,
10/29/2015 20:01:57,2,3,2,,,,1: Least,3,1: Least,2,3,2,3,2,3,1: Least,3,2,6,4,4,4,4,6,5,3,3,5,6,6,,,,4,4,3,2,4,2,
10/29/2015 20:15:06,4,3,5,5,4,7: Greatest,1: Least,1: Least,1: Least,3,2,3,7: Greatest,7: Greatest,7: Greatest,2,5,3,4,4,4,3,5,7: Greatest,4,4,4,2,3,4,1: Least,2,3,4,4,4,5,6,7: Greatest,
10/29/2015 20:35:10,2,1: Least,4,4,6,5,2,1: Least,4,5,5,5,7: Greatest,7: Greatest,6,,,,,,,6,6,7: Greatest,,,,4,2,5,,,,6,6,5,4,7: Greatest,6,
10/29/2015 20:35:28,3,3,5,,,,,,,,,,7: Greatest,7: Greatest,7: Greatest,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2015 21:22:55,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2015 21:23:48,2,4,3,4,5,5,1: Least,2,2,3,2,2,4,4,4,2,4,3,,,,5,6,7: Greatest,,,,3,6,7: Greatest,2,3,3,7: Greatest,7: Greatest,7: Greatest,2,5,4,
10/29/2015 22:45:50,,,,4,6,5,,,,3,1: Least,5,6,4,4,2,6,5,,,,1: Least,7: Greatest,5,,,,3,3,6,2,4,4,5,6,5,6,6,5,
10/29/2015 22:48:14,1: Least,1: Least,3,1: Least,7: Greatest,6,1: Least,1: Least,1: Least,2,6,5,3,5,7: Greatest,2,1: Least,2,,,,1: Least,4,4,,,,1: Least,1: Least,1: Least,,,,7: Greatest,7: Greatest,7: Greatest,1: Least,7: Greatest,6,
10/30/2015 0:18:27,,,,,,,,,,,,,,,,2,6,4,,,,5,5,7: Greatest,,,,,,,,,,7: Greatest,6,7: Greatest,,,,
10/30/2015 2:15:10,2,4,3,2,5,2,3,3,3,1: Least,1: Least,2,7: Greatest,3,6,3,3,3,3,3,3,4,6,5,3,3,3,3,3,3,2,2,1: Least,5,4,4,4,4,5,
10/30/2015 6:06:14,1: Least,2,3,2,4,4,1: Least,1: Least,3,,,,4,3,3,1: Least,2,2,2,3,3,,,,,,,,,,,,,3,3,3,1: Least,4,3,
10/30/2015 6:35:06,1: Least,1: Least,2,3,5,4,1: Least,1: Least,4,5,5,5,7: Greatest,5,7: Greatest,4,6,5,3,4,3,5,7: Greatest,6,4,5,4,5,6,5,2,3,5,7: Greatest,6,7: Greatest,7: Greatest,7: Greatest,7: Greatest,
10/30/2015 14:13:01,1: Least,3,5,6,7: Greatest,4,2,4,5,3,5,3,,,,3,5,4,,,,,,,,,,,,,2,6,3,7: Greatest,6,7: Greatest,,,,